,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
time,glut_med2_l,bifemlh_l,add_long_l,glut_max2_l,iliacus_l,rect_fem_l,vas_int_l,med_gas_l,tib_ant_l
1,4.080269786,56.96239219,7.413060362,32.98004468,38.86762818,4.00E-01,36.22381121,76.53427737,75.96140136
2,17.66341112,84.87417116,8.6340153,100.1999733,82.40431705,1.122203616,24.69235237,80.55904524,73.36059684
3,20.45443117,91.93434813,13.31848431,117.6075019,109.5282966,3.218303764,46.01007354,83.23078112,78.43531299
4,15.54715085,159.632825,21.50895649,121.4052674,107.5054577,6.186648799,56.82082668,80.17058441,84.67162604
5,12.44668077,158.1478521,67.69591343,119.6580892,90.40731112,7.564669279,68.27512663,68.2535176,89.19994484
6,10.33561508,126.8484964,77.59800398,117.7496301,55.93296156,36.80479266,78.10031516,52.85565656,92.52788151
7,35.13675621,140.722916,39.72964097,110.6414244,40.56848014,42.91867349,161.3738,46.48521871,92.89882886
8,108.9256456,144.4452828,14.85500296,63.18470455,26.81085821,26.60490857,276.0265719,53.07532051,81.31763459
9,139.8882012,152.5956455,6.433751663,20.96869488,45.60733887,17.91133018,347.0682335,86.29795836,68.07207997
10,145.4520916,135.8254144,4.52216372,10.65343642,73.48228299,13.69809339,355.0409995,126.7866276,61.18569981
11,145.9638094,190.4718884,4.605317108,71.14107443,189.8060142,10.93241346,379.7429841,168.2639516,58.95884812
12,134.8032877,182.8420021,5.814847573,74.86126224,199.9299252,9.052805311,328.9104818,220.6298857,56.65226215
13,135.6402436,156.0124728,6.244405911,80.23586432,206.2079942,8.131975447,286.2658727,274.9444342,53.53463649
14,134.3116144,105.584991,5.156484481,23.53954859,139.9899354,7.660866861,253.0231164,350.516992,51.52572374
15,130.0655361,124.8630131,4.239504999,8.662178814,146.3378004,7.321683331,247.6664365,386.8424899,48.8870649
16,135.8614777,108.5488009,3.93415132,4.585635644,147.1426858,7.141781784,216.4489309,409.4923732,44.59634829
17,148.7471429,111.9966033,4.376899882,4.950448414,204.9393549,7.643625402,219.0107813,444.4154651,40.62317837
18,154.0125808,146.556824,6.04082064,14.85628118,265.6251307,8.431459536,243.715995,488.5283767,39.27672863
19,136.9580013,144.9187978,8.203020431,7.648537919,254.8458661,9.48332673,229.1791013,479.9905547,37.97367156
20,101.2013499,86.42736429,8.329731386,5.81581287,186.6222758,55.98662463,185.7452945,435.9776134,32.84205629
21,73.69593609,72.76092084,19.79572296,5.371789328,188.5566301,57.55551443,162.1949227,306.3083216,39.05938363
22,69.73141798,44.11597057,31.43798225,4.790842676,177.5884921,48.79902013,155.5431869,190.4669396,47.23841043
23,42.91031815,48.66778674,29.94542921,4.510236124,165.9744101,41.88810846,161.6785867,140.7825241,53.56255878
24,30.36266943,60.72118361,32.39194372,4.327525971,156.5745597,38.58814304,170.6841681,115.9287143,60.12592952
25,23.68352281,84.13526097,30.58118993,4.221768596,148.1394832,36.59922569,183.02591,101.8791675,67.06967644
26,19.81790335,92.66861077,28.89226471,4.13518898,140.8069402,35.36208457,196.1210844,92.11087157,74.19654516
27,17.18126592,103.6009735,27.53509629,4.067220904,135.0415731,34.48763501,209.4914531,86.60093449,81.31691884
28,15.46478666,117.2707011,26.40881937,4.012884199,129.8527756,33.85230103,225.5016534,83.35545504,88.28766184
29,14.15687616,124.5417464,25.42733176,3.958582451,126.0766077,33.57013809,241.9425351,81.4855319,95.13432189
30,13.28105896,136.1906159,24.56734171,3.916435392,122.9730885,38.43048538,256.762355,80.40840286,101.8564725
31,12.79879547,152.1112893,23.81785086,3.883068107,120.0173285,42.6296427,270.8945661,80.27768223,108.2143431
32,12.51440881,167.2167533,23.13808372,3.848400947,117.8332701,52.31581258,285.0002599,80.80294555,114.2547195
33,12.48934998,181.541896,22.51319196,3.814182731,116.4930331,62.36663963,303.1264748,81.99075534,119.9328391
34,14.29373254,213.3311826,21.76293492,3.771832619,115.6787896,82.19245944,331.112721,84.44946386,126.728121
35,16.48463029,261.099104,20.8093901,3.715946479,115.7963102,105.2418355,372.6891637,90.24938926,134.7126001
36,21.00100966,315.8208069,19.49112261,3.660758466,116.0658716,130.5658468,411.0734883,102.0896182,143.3667091
37,27.91875657,359.2898828,18.14975792,3.640418839,113.5308746,157.6336431,446.7898711,119.3022569,145.6661884
38,31.86584251,378.5976812,16.78270273,3.610239522,112.2843352,172.6766765,479.9848894,143.0394608,148.8652321
39,29.52363176,386.463137,14.5386427,3.56478938,116.121581,174.1290337,519.5000481,192.7004898,188.8440733
40,24.59373034,339.3415925,10.68941843,3.513652409,118.0907764,158.398425,546.6690921,275.4717538,259.1726808
41,28.59613481,283.1477628,9.894420128,3.416827969,118.9022452,135.0765924,491.1186477,302.9890208,279.5300371